val_mIoU,val_F1,val_OA,val_Dice,epoch,step,train_mIoU,train_F1,train_OA,train_Dice
0.8489455036559028,0.9128877273785228,0.9804592212709058,0.9128877273785229,0,2855,,,,
,,,,0,2855,0.7984441413195347,0.8775592805583885,0.9726083926459989,0.8775592805583885
0.8528440232303023,0.9154430953439405,0.9813093691646886,0.9154430953439405,1,5711,,,,
,,,,1,5711,0.8410830748204414,0.907622786011377,0.9792848982396913,0.907622786011377
0.8605631088735051,0.9205139952024846,0.9822065930406586,0.9205139952024846,2,8567,,,,
,,,,2,8567,0.8517213810471007,0.9147219241515596,0.9809241067795527,0.9147219241515595
0.8664914766447841,0.9243419894320891,0.983043726084947,0.9243419894320891,3,11423,,,,
,,,,3,11423,0.8561469974886022,0.9176613809318099,0.9812534767409704,0.9176613809318098
0.8697578231471811,0.9264095190143847,0.9837903889621339,0.9264095190143847,4,14279,,,,
,,,,4,14279,0.8596820647190804,0.919967541439124,0.9817717730572318,0.919967541439124
0.8732163013098715,0.9286356248058749,0.983912234212838,0.9286356248058749,5,17135,,,,
,,,,5,17135,0.8676502325408726,0.925108313702615,0.9829115308113942,0.925108313702615
