val_mIoU,val_F1,val_OA,val_Dice,epoch,step,train_mIoU,train_F1,train_OA,train_Dice
0.5046965938231994,0.6159269731025074,0.8137736313817214,0.6159269731025074,0,713,,,,
,,,,0,713,0.43610194520197076,0.5445378278162252,0.7452305525290865,0.5445378278162252
0.8133489167319543,0.8886720234522333,0.9724876052525198,0.8886720234522333,1,1427,,,,
,,,,1,1427,0.7676574380460399,0.8547612199708786,0.9635601037022781,0.8547612199708785
0.8292612069272707,0.8996428251926993,0.976608665049577,0.8996428251926993,2,2141,,,,
,,,,2,2141,0.796708902292806,0.8767127149655386,0.9691079384138604,0.8767127149655385
0.8230643408203788,0.8953628411474996,0.9754171518384576,0.8953628411474996,3,2855,,,,
,,,,3,2855,0.7979216545468857,0.8775379007927523,0.9698060380310571,0.8775379007927523
0.826683299503598,0.8977529914029978,0.9771652548920875,0.8977529914029978,4,3569,,,,
,,,,4,3569,0.7859010137627072,0.868554980610081,0.9680787702234519,0.868554980610081
0.8113245984682875,0.8870543006178686,0.9735843280450303,0.8870543006178686,5,4283,,,,
,,,,5,4283,0.7710656767647219,0.8572627765999161,0.9651310109958595,0.8572627765999162
0.8132977259950278,0.8886191507494905,0.9726158183495871,0.8886191507494905,6,4997,,,,
,,,,6,4997,0.7951083973861505,0.8753942297798107,0.969861462670548,0.8753942297798106
0.8256495469088845,0.8972199524760476,0.9753259156598431,0.8972199524760476,7,5711,,,,
,,,,7,5711,0.797086234273406,0.8768853446890137,0.9699532551591804,0.8768853446890136
0.8318663069310457,0.9014702196395439,0.9766945251229764,0.9014702196395439,8,6425,,,,
,,,,8,6425,0.801843235051168,0.8803742454110058,0.970704463349671,0.8803742454110057
0.839809787953154,0.9067669177724783,0.9790469411374474,0.9067669177724782,9,7139,,,,
,,,,9,7139,0.8058279478098971,0.883216397643038,0.9717528566258962,0.883216397643038
0.8310047271714109,0.9006742540389171,0.978473458971296,0.9006742540389171,10,7853,,,,
,,,,10,7853,0.8088173906739036,0.8854647207289883,0.9714907524632472,0.8854647207289881
0.8468700050205842,0.9115628714928576,0.9795478258480211,0.9115628714928576,11,8567,,,,
,,,,11,8567,0.8210724520651091,0.8941409590657348,0.9735878048156824,0.8941409590657347
0.8484074893853988,0.9125561290658906,0.9801002123108765,0.9125561290658906,12,9281,,,,
,,,,12,9281,0.8290801383650583,0.8996218572620029,0.9756164443926985,0.8996218572620029
0.853568414420161,0.9159857387151757,0.9806856755115071,0.9159857387151757,13,9995,,,,
,,,,13,9995,0.838844278636488,0.9063377529372301,0.9766612406872234,0.9063377529372301
0.8542615915535836,0.9164761375969536,0.9803974080820378,0.9164761375969535,14,10709,,,,
,,,,14,10709,0.8399907287000863,0.9070874670725224,0.9770824748928807,0.9070874670725224
0.8620379000226194,0.9215112064380778,0.9819261954278171,0.9215112064380779,15,11423,,,,
,,,,15,11423,0.8487964462931272,0.9129785952827849,0.9783905367223489,0.9129785952827849
0.8562607365878533,0.917798540871962,0.9805521250438958,0.9177985408719618,16,12137,,,,
,,,,16,12137,0.8530364517416602,0.9157573548257556,0.979248195803132,0.9157573548257556
0.8659959389606567,0.9240630003276005,0.9824853417586211,0.9240630003276005,17,12851,,,,
,,,,17,12851,0.8558246340289789,0.9175909915734533,0.9795990911852411,0.9175909915734533
0.8650747073705796,0.9234727832280724,0.9823317354132816,0.9234727832280722,18,13565,,,,
,,,,18,13565,0.8607803576137616,0.9208263614773841,0.9801973762298498,0.9208263614773841
0.865726664901791,0.9238992992640562,0.9823322402996844,0.9238992992640562,19,14279,,,,
,,,,19,14279,0.861353492035674,0.9211812318186259,0.980472540655056,0.9211812318186261
0.8659121821379232,0.9240181112348934,0.9823627418496695,0.9240181112348934,20,14993,,,,
,,,,20,14993,0.8606855895090976,0.9207713361761037,0.9801079953084139,0.9207713361761036
0.862870535258887,0.9220822595688769,0.9816492745856277,0.9220822595688769,21,15707,,,,
,,,,21,15707,0.8603138556627756,0.9205108284076835,0.9802882384185364,0.9205108284076835
0.8644141018352837,0.9230547452041797,0.9821496550776377,0.9230547452041797,22,16421,,,,
,,,,22,16421,0.8554426633881936,0.9173516685961833,0.9794226621045452,0.9173516685961833
0.8632149494647188,0.9222791487411676,0.9820078901883935,0.9222791487411675,23,17135,,,,
,,,,23,17135,0.8484823627789093,0.9127653108578444,0.9783974675571218,0.9127653108578445
0.8586434980979101,0.9192789724811772,0.9817683022229278,0.9192789724811772,24,17849,,,,
,,,,24,17849,0.8435845551639078,0.9095341516898972,0.9773100651278883,0.9095341516898972
0.8531266348827449,0.9157404250180712,0.9801132512025806,0.9157404250180712,25,18563,,,,
,,,,25,18563,0.8374187964315498,0.9053331025474745,0.9768341869867149,0.9053331025474745
0.8588821267960006,0.9194499443291124,0.9816215138475434,0.9194499443291124,26,19277,,,,
,,,,26,19277,0.8419867166489106,0.9084443077002429,0.9772543259361545,0.9084443077002428
0.8521029595093135,0.9150635004827256,0.9799902586042046,0.9150635004827256,27,19991,,,,
,,,,27,19991,0.846889855874281,0.911690754767851,0.9783335900774189,0.911690754767851
0.856942853287559,0.9182170068584836,0.9809671870800627,0.9182170068584836,28,20705,,,,
,,,,28,20705,0.8488076322511684,0.913012792393818,0.978102853652142,0.9130127923938182
0.8613455293162013,0.9210733722479489,0.9817011790449212,0.9210733722479489,29,21419,,,,
,,,,29,21419,0.8531019317832815,0.915811843006094,0.9791300209964356,0.9158118430060941
0.8617679128914322,0.9213358856486155,0.9818942333135953,0.9213358856486153,30,22133,,,,
,,,,30,22133,0.8513639874863579,0.914650924124597,0.9790538118666962,0.914650924124597
0.8633239813657176,0.9223393543522931,0.9821472074471268,0.922339354352293,31,22847,,,,
,,,,31,22847,0.8533781657331916,0.9159865821180893,0.9792471279283198,0.9159865821180893
0.8679063203756678,0.9252707083039835,0.9829667155482188,0.9252707083039835,32,23561,,,,
,,,,32,23561,0.8581744210751503,0.9191365047253559,0.9797973966732079,0.9191365047253559
0.8683811595743899,0.9255925272289439,0.9828030548843683,0.9255925272289439,33,24275,,,,
,,,,33,24275,0.8610467910428007,0.9209738257548521,0.9805350236865986,0.9209738257548521
0.8687366760323072,0.9258358695460642,0.9826461681130887,0.9258358695460642,34,24989,,,,
,,,,34,24989,0.8637624864628088,0.9227159832735405,0.9810645473437483,0.9227159832735405
0.8719989569896052,0.9278948966417744,0.9833317390676974,0.9278948966417744,35,25703,,,,
,,,,35,25703,0.8658579606169038,0.924078703060939,0.9811665136941007,0.924078703060939
0.8722869133829187,0.9280799461997925,0.9833408076556123,0.9280799461997926,36,26417,,,,
,,,,36,26417,0.8668332594419403,0.9247048375909314,0.9812893233045477,0.9247048375909314
0.8727050374342296,0.9283430949725731,0.9834246862502325,0.9283430949725731,37,27131,,,,
,,,,37,27131,0.8692653477748558,0.9262479058552839,0.9817617006328594,0.926247905855284
0.8721422266837371,0.9279958826281708,0.9832190051466143,0.9279958826281708,38,27845,,,,
,,,,38,27845,0.8702004055182071,0.9268531154611936,0.981763819686505,0.9268531154611936
0.8725526477219332,0.9282547746221436,0.9832941236950102,0.9282547746221435,39,28559,,,,
,,,,39,28559,0.869624343080416,0.9264744413643722,0.9818395773569742,0.9264744413643722
0.8733804049048643,0.9287739522874949,0.9834769633637757,0.9287739522874949,40,29273,,,,
,,,,40,29273,0.8723733561567651,0.9282169551436938,0.9822668922381574,0.9282169551436937
0.8720074659529297,0.9279128061811023,0.9831683642390061,0.9279128061811024,41,29987,,,,
,,,,41,29987,0.8709336267725134,0.9273154994359922,0.9819129328099954,0.9273154994359922
