val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.8810189325422293,0.9335153905933071,0.9853455486083899,20,59975,,,
,,,20,59975,0.8803446742454231,0.9331111103646774,0.9850146474401935
0.8821694812999044,0.934234163713566,0.98548024108096,21,62831,,,
,,,21,62831,0.8814349998734412,0.9338010064831423,0.9850277489603697
0.8831220372521664,0.934823787909002,0.9856530918794519,22,65687,,,
,,,22,65687,0.8831946600300633,0.9348945633554304,0.9852879230678545
0.8842073752776733,0.9355062867949497,0.985673159110446,23,68543,,,
,,,23,68543,0.8854841541231229,0.9363183167942939,0.9855285128662603
0.8833045335841339,0.934937036756371,0.9856802635833997,24,71399,,,
,,,24,71399,0.8862039565338842,0.9367576495041987,0.9857085254976692
0.8854782908781854,0.9362943623770411,0.9858320574132668,25,74255,,,
,,,25,74255,0.8880828021472491,0.9379186725009792,0.9859191768087037
0.8855940576253166,0.9363553470008088,0.9860068522915453,26,77111,,,
,,,26,77111,0.8880077450566823,0.9378603317604342,0.9860958134389688
0.8845367823924543,0.9357007170193743,0.9858628855365998,27,79967,,,
,,,27,79967,0.8904571776215475,0.9393677618818072,0.9863726835253823
0.8869859001303503,0.9372189347718369,0.9861373988186278,28,82823,,,
,,,28,82823,0.8902101124896201,0.9392206979123356,0.9862716640967504
0.8873658897601971,0.9374608721841418,0.9860724060475325,29,85679,,,
,,,29,85679,0.8916352676203119,0.9401008540878018,0.986334950316186
0.8883043029734425,0.93803350828577,0.9862791837430468,30,88535,,,
,,,30,88535,0.8937979885209215,0.9414140641992712,0.9867144723269489
0.8889924505969169,0.9384575795414904,0.98635688749682,31,91391,,,
,,,31,91391,0.8934034033110038,0.9411730111948939,0.9866754375734398
0.8876949392950483,0.9376575668315785,0.9862093164139435,32,94247,,,
,,,32,94247,0.8951631053328842,0.9422386086606831,0.9869809309493112
0.8897338124400261,0.9389165942238622,0.9863967267739004,33,97103,,,
,,,33,97103,0.895284153809122,0.9423073502771465,0.9870755005357721
0.8894461849371194,0.9387352147842571,0.9864339721636946,34,99959,,,
,,,34,99959,0.8959632976253641,0.9427269281390281,0.9870375515403237
0.890132560965656,0.9391552540137014,0.9865426302624016,35,102815,,,
,,,35,102815,0.8979874833762975,0.9439474267755631,0.9873716032026417
0.8908377214993618,0.939592790349989,0.9865502242614576,36,105671,,,
,,,36,105671,0.8976912806246342,0.9437723013038021,0.9872684736990907
0.8913855686332219,0.9399271771822553,0.986636814950895,37,108527,,,
,,,37,108527,0.8982890254456826,0.9441277528027534,0.9874401229065303
0.891341955873261,0.9398964138981216,0.986696027574085,38,111383,,,
,,,38,111383,0.8987884988236184,0.9444339826992026,0.9874198621505894
0.8914561947927916,0.9399660431286263,0.986715117088553,39,114239,,,
,,,39,114239,0.8998122238377348,0.9450471789163153,0.987611730262716
0.8915368635875955,0.9400136011036544,0.9867541102134213,40,117095,,,
,,,40,117095,0.8993456186465506,0.9447637368400013,0.987595418365507
0.891459909290729,0.9399685673943248,0.9867115895621249,41,119951,,,
,,,41,119951,0.8991154638124903,0.9446176128748308,0.9876949516294012
0.8915806561976267,0.9400439107967521,0.9867036289193717,42,122807,,,
,,,42,122807,0.9001199912977809,0.9452286672465159,0.9877155786580176
0.8914312724078852,0.9399489071632234,0.9867419435196564,43,125663,,,
,,,43,125663,0.898770988095823,0.9444061682633536,0.9877153628717654
0.8916414843047086,0.940079169040253,0.9867425212005273,44,128519,,,
,,,44,128519,0.9004990089492801,0.9454632508956797,0.9876464003163115
